torch.profiler operator breakdown — distilgpt2, 16 tokens, CPU

-----------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                 Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::addmm        50.21%     159.463ms        51.50%     163.581ms     425.991us           384  
                                             aten::mm        24.18%      76.792ms        24.18%      76.794ms       4.800ms            16  
    aten::_scaled_dot_product_flash_attention_for_cpu         2.59%       8.210ms         3.76%      11.931ms     124.280us            96  
                                           aten::tanh         2.45%       7.768ms         2.45%       7.768ms      80.920us            96  
                                           aten::isin         2.28%       7.236ms         3.00%       9.521ms     194.308us            49  
                                          aten::copy_         2.09%       6.623ms         2.09%       6.623ms       7.246us           914  
                                         aten::arange         1.74%       5.531ms         3.07%       9.742ms     101.477us            96  
                                           aten::view         1.23%       3.899ms         1.23%       3.899ms       2.192us          1779  
                                            aten::mul         1.12%       3.555ms         2.16%       6.869ms      16.513us           416  
                                      aten::transpose         1.07%       3.404ms         1.24%       3.948ms       4.045us           976  
                                         aten::expand         0.93%       2.942ms         0.98%       3.127ms       8.143us           384  
                                            aten::cat         0.93%       2.939ms         1.14%       3.629ms      15.120us           240  
                                            aten::pow         0.85%       2.695ms         0.86%       2.732ms      28.463us            96  
                                  aten::empty_strided         0.82%       2.597ms         0.82%       2.597ms       4.509us           576  
                                          aten::where         0.81%       2.582ms         1.64%       5.202ms      81.280us            64  
-----------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 317.612ms
